 DECAY0 generated file: BiPo212.dat                             

  date and hour         :   10.10.2007    15:32: 4
  initial random number :  0
    
  event type: Bi212           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 47   255.838       6.39484      -8.60552     0.161894E-06
     147  2457.26       2
  3   1.18465      0.914516     -0.565193      0.00000    
 47   106.657       163.816      -165.398     0.277092E-06
     148  4209.31       3
  3 -0.542977     -0.111368E-01 -0.197140      0.00000    
  1 -0.655765       1.25587      0.902859      0.00000    
 47  -210.447      -119.173       84.1290     0.497018E-06
     149  1489.00       2
  3  -1.90599     -0.581787     -0.458018E-03  0.00000    
 47  -187.973      -83.0560       152.761     0.463928E-07
     150  7324.80       3
  3  0.612423     -0.443584      0.456593      0.00000    
  1 -0.318259      0.649050      0.772903E-01  0.00000    
 47  -100.560      -203.011      -119.341     0.412626E-06
     151  1151.70       2
  3  0.604495     -0.231320     -0.487259      0.00000    
 47  -236.512      -67.9971      -70.7556     0.106781E-05
     152  8178.19       2
  3 -0.230996      0.963428       1.05226      0.00000    
 47  -234.642       60.8971      -82.4782     0.476563E-06
     153  1532.08       2
  3 -0.475566      -1.11079     -0.702135      0.00000    
 47   158.208      -70.6099      -188.554     0.481873E-08
     154  20584.5       2
  3  -1.43146     -0.821438E-01 -0.935845      0.00000    
 47  -116.560      -56.8931      -220.782     0.605658E-06
     155  5816.18       2
  3 -0.436460E-01  0.309023E-01 -0.329611E-01  0.00000    
 47  -188.693       13.2574      -172.589     0.543441E-06
     156  3291.12       2
  3  0.571015     -0.554213     -0.800722      0.00000    
 47   155.153      -150.297      -137.500     0.239030E-06
     157  7801.11       2
  3  0.645492     -0.342747       1.26788      0.00000    
 47  -84.4964      -241.639      -6.22921     0.884718E-06
     158  5800.15       3
 47  -200.369       58.7867      -39.2703      0.00000    
  3  0.739356E-01  0.712138E-01 -0.125048     0.665665E-11
  1 -0.137245E-01  0.168725E-02  0.581306E-02  0.00000    
     159  746.504       2
  3  0.112500      0.245027     -0.399131      0.00000    
 47  -27.7520       35.4173       252.078     0.765186E-06
     160  5884.45       2
  3  0.516775     -0.413073     -0.620129      0.00000    
 47  -209.751      -68.7199       129.807     0.345060E-07
     161  2692.92       2
  3 -0.797152     -0.741920       1.92479      0.00000    
 47   221.004      -123.992      -36.7589     0.155064E-06
     162  12561.9       2
  3 -0.431813E-01  0.659193      -1.03884      0.00000    
 47   198.747      -153.109      -51.2371     0.211501E-07
     163  5666.84       3
 47   167.438       42.6042      -123.674      0.00000    
  3  0.106037     -0.565449E-02 -0.122062     0.169327E-10
  1 -0.327241E-02 -0.307067E-02  0.143130E-01  0.00000    
     164  3851.04       3
 47  -11.8958       177.051      -116.864      0.00000    
  3  0.438970E-01 -0.153256     -0.275774E-01 0.125942E-11
  1  0.126854E-01 -0.898542E-03 -0.795449E-02  0.00000    
     165  3563.80       1
 47   149.419       7.92654      -151.817      0.00000    
     166  6081.65       1
 47  -85.7041      0.934246      -195.169      0.00000    
     167  12436.9       3
 47  -123.592       172.832     -0.705921E-01  0.00000    
  3 -0.130899      0.373060E-01 -0.874569E-01 0.247940E-10
  1 -0.114083E-03  0.133444E-01 -0.684930E-02  0.00000    
     168  4334.06       2
  3  0.681135      -1.55003      0.149936      0.00000    
 47   130.029       116.712       187.186     0.128678E-05
     169  2013.73       2
  3  -1.94992      0.321630     -0.922274      0.00000    
 47   131.062       167.857       142.178     0.408451E-06
     170  4225.80       2
  3  0.620805      -1.35476      0.771330E-01  0.00000    
 47  -26.0799      -54.8041       248.765     0.214041E-05
     171  3405.83       2
  3  0.551213     -0.324876       1.28602      0.00000    
 47  -77.0443       241.917       33.2905     0.164245E-05
     172  4670.54       3
  3 -0.932726      0.988293       1.13549      0.00000    
  1  0.237066     -0.680626      0.952739E-01  0.00000    
 47   142.780       101.223      -186.911     0.108200E-05
     173  7639.22       2
  3  0.364083      -1.53153      0.704398      0.00000    
 47  -155.867      -175.411       102.491     0.469456E-06
     174  6379.94       2
  3  -2.11188      -1.12123      -1.19870      0.00000    
 47   190.791       140.199       97.5235     0.320548E-06
     175  11723.9       3
  3  0.264526     -0.972610E-01  0.153268      0.00000    
  1  -1.44573      0.653987      0.331372      0.00000    
 47  -4.87530      -192.862       168.370     0.585871E-06
     176  854.119       2
  3  -1.67560      0.993872     -0.402246E-01  0.00000    
 47   3.29796      -145.861       210.432     0.915935E-06
     177  2459.55       2
  3 -0.574027      0.500032      0.829332      0.00000    
 47  -220.976       2.47169      -129.350     0.113987E-05
     178  13211.2       2
  3  0.360937     -0.968912      -1.20666      0.00000    
 47   187.593      -22.4845      -172.832     0.723151E-07
     179  2033.14       2
  3  -1.49712       1.37735      0.835254      0.00000    
 47   70.7958      -221.990       106.190     0.328918E-06
     180  4034.73       3
 47  -179.644      -16.6244       112.239      0.00000    
  3 -0.166779E-01 -0.817352E-01 -0.138622     0.129397E-10
  1 -0.572826E-02  0.509370E-02 -0.128935E-01  0.00000    
     181  10951.6       3
 47   11.3746      -205.088      -54.3645      0.00000    
  3  0.130582      0.942065E-01 -0.157614E-01 0.234099E-11
  1  0.682807E-02  0.465024E-02  0.125201E-01  0.00000    
     182  2006.36       2
  3   1.23019     -0.246160     -0.655851E-01  0.00000    
 47   20.8863       226.427      -117.740     0.471976E-06
     183  4668.12       2
  3 -0.576365      0.488807     -0.585853      0.00000    
 47   53.2493      -248.885       28.0814     0.589663E-06
     184  4762.42       2
  3  -2.27354     -0.594915     -0.443346E-01  0.00000    
 47  -92.9366      -188.940       145.713     0.103385E-06
     185  8342.42       3
 47  -122.804      -173.158       9.01788      0.00000    
  3 -0.834230E-01  0.130149      0.477154E-01 0.109297E-10
  1  0.695269E-02  0.467980E-02 -0.124402E-01  0.00000    
     186  4554.57       2
  3 -0.739632E-01 -0.108691     -0.978071      0.00000    
 47   236.507       55.9687       80.6229     0.854945E-06
     187  4380.48       1
 47   8.69837       132.395      -166.832      0.00000    
     188  1294.20       3
 47   146.056      -87.1139      -127.376      0.00000    
  3  0.952165E-01  0.129289      0.198247E-01 0.200747E-11
