 DECAY0 generated file: BiPo214.dat                             

  date and hour         :   10.10.2007    15:34:51
  initial random number :  0
    
  event type: Bi214           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
 47   66.8357      -82.7898       214.577     0.155679E-04
      57  1471.19       4
  3 -0.345707      0.356868E-01 -0.190386      0.00000    
  1 -0.291618     -0.963602     -0.720468      0.00000    
  1  0.394313     -0.234611     -0.400445      0.00000    
 47  -86.1345       183.173       128.034     0.192722E-03
      58  2247.61       4
  3 -0.208179       1.01822       2.01460      0.00000    
  1 -0.220785     -0.319294      0.662668      0.00000    
  1  0.554531     -0.374253E-01 -0.248950      0.00000    
 47  -209.466      -77.6890       86.3308     0.420048E-03
      59  2364.68       4
  3  0.977304       1.00498     -0.209704      0.00000    
  1 -0.588874     -0.857719     -0.414662      0.00000    
  1 -0.187495      0.110340     -0.568816      0.00000    
 47   109.575       84.4800       195.502     0.726131E-05
      60  3879.22       2
  3  -2.98434      -1.02885      0.175157      0.00000    
 47  -150.111       134.392      -129.498     0.181996E-03
      61  2277.43       4
  3 -0.402273      0.263790      0.294076      0.00000    
  1  0.102659      -1.11094      0.983061E-01  0.00000    
  1  0.461789     -0.694657E-01  0.390905      0.00000    
 47  -46.2469       23.5572       233.818     0.794993E-05
      62  1574.23       3
  3 -0.975394      0.115106      0.173145      0.00000    
  1  -1.01942      0.957277      -1.20657      0.00000    
 47   1.89791      -159.879       178.324     0.120946E-03
      63  82.8009       3
  3 -0.170826      0.182305      0.588721E-01  0.00000    
  1 -0.473435     -0.905198      -1.43811      0.00000    
 47  -154.902      -181.279      -22.5319     0.155226E-03
      64  3124.74       3
  3  0.324155      0.457071      0.288871      0.00000    
  1 -0.903610      -1.24833      -1.90207      0.00000    
 47   38.2471      -207.912       112.579     0.519484E-03
      65  371.212       3
  3  0.181831      0.984748E-01  0.935128E-01  0.00000    
  1 -0.132467E-01  -1.75212      0.584232      0.00000    
 47  -189.241       124.484      -77.8200     0.335172E-04
      66  624.780       4
  3 -0.569734E-01  0.835204     -0.480166      0.00000    
  1 -0.909121      0.577367     -0.307485      0.00000    
  1 -0.521424     -0.198637     -0.244011      0.00000    
 47  -218.928      -79.6078      -55.6543     0.252068E-04
      67  995.861       2
  3  0.704921      0.488820       1.95365      0.00000    
 47   112.376       113.718       178.338     0.215223E-03
      68  940.084       3
  3 -0.822568     -0.361916     -0.679847      0.00000    
  1  0.598752       1.50843     -0.691252      0.00000    
 47   213.469      -4.85659       108.498     0.232379E-03
      69  3271.11       4
  3  0.101722E-02  0.318721E-01 -0.805889E-01  0.00000    
  1  -1.33960      0.524212       1.54362      0.00000    
  1  0.295446      0.212710     -0.488208      0.00000    
 47  -5.19297       26.9491      -237.931     0.422616E-03
      70  1443.01       4
  3 -0.309683      0.180996E-01  0.854213      0.00000    
  1 -0.102763       1.10845     -0.123219      0.00000    
  1 -0.341990     -0.487709     -0.126741      0.00000    
 47   12.1749       213.883      -107.100     0.233759E-03
      71  3315.86       4
  3 -0.202476      -1.40836     -0.531256      0.00000    
  1  0.904022     -0.469724      0.465299      0.00000    
  1 -0.457260     -0.204568     -0.346332      0.00000    
 47   131.753       154.227      -127.356     0.106217E-02
      72  1323.69       3
  3  0.702706      0.368747     -0.938775      0.00000    
  1  -1.56615     -0.492143E-01  0.810214      0.00000    
 47  -22.6546       45.7626       234.002     0.107397E-03
      73  1065.45       3
  3   1.29859     -0.914369E-01 -0.616771      0.00000    
  1   1.24324       1.81653      0.110491      0.00000    
 47   155.715       144.285       110.901     0.191559E-03
      74  875.299       3
  3 -0.677736      0.145925      0.276223      0.00000    
  1 -0.706248       2.15028      0.932847      0.00000    
 47   47.5914      -202.968      -117.912     0.322460E-03
      75  3063.55       4
  3 -0.385172      0.381667      0.203165      0.00000    
  3   1.04622       1.09673     -0.895198     0.233798E-09
  1 -0.776970E-02  0.899981E-01 -0.221129E-01  0.00000    
 47  -54.9196       200.404       119.108     0.127236E-03
      76  2587.12       4
  3 -0.364734      0.255159       1.70596      0.00000    
  1 -0.341271      0.540589     -0.425583      0.00000    
  1  0.468416      0.387802      0.328179E-01  0.00000    
 47  -200.662       130.667       5.02706     0.371549E-04
      77  12772.5       2
  3  -1.45481       1.32090      0.472098      0.00000    
 47  -109.052       204.252       61.2634     0.557465E-04
      78  1519.46       4
  3 -0.485587      -1.09826      0.721373      0.00000    
  1  0.918064      0.611239      0.194794      0.00000    
  1  0.447331E-01  0.584047     -0.166640      0.00000    
 47   66.5982       220.828       64.5303     0.316563E-03
      79  3064.69       4
  3 -0.558131      -1.49605      0.378180      0.00000    
  1  0.146246      0.958024      0.561429      0.00000    
  1  0.415286     -0.275473      0.350048      0.00000    
 47   11.0597      -139.254       194.552     0.259728E-03
      80  876.245       4
  3 -0.456426     -0.273329     -0.260471      0.00000    
  1   1.26250     -0.616707     -0.906881E-01  0.00000    
  1  0.400351      0.132207      0.439455      0.00000    
 47   197.384      -131.078       34.9651     0.340157E-03
      81  1204.38       4
  3 -0.565565      -1.41988     -0.930481      0.00000    
  1 -0.374755     -0.669823      0.971360      0.00000    
  1 -0.321273      0.516509     -0.297245E-01  0.00000    
 47  -187.285       61.2910      -136.133     0.573440E-03
      82  964.072       2
  3  0.673596      0.699458     -0.495999      0.00000    
 47   108.017       212.052      -27.0312     0.167368E-03
      83  734.538       5
  3 -0.322748      -1.05679     -0.347019      0.00000    
  1  0.900412      0.772955     -0.225969      0.00000    
  1 -0.641416      0.584302E-01  0.165518      0.00000    
  1  0.579729      0.135325      0.128382      0.00000    
 47  -132.361       196.737       33.7573     0.218536E-03
      84  1359.78       3
  3  0.253839     -0.573400E-01 -0.548058      0.00000    
  1 -0.251426       1.74442      0.739470E-01  0.00000    
 47  -118.429       28.4369      -206.229     0.272373E-03
      85  1679.07       5
  3 -0.345571E-01 -0.482055      0.547882      0.00000    
  1   1.02899     -0.418116      0.136104      0.00000    
  1  0.266592     -0.819651      0.359801      0.00000    
  1 -0.311650     -0.105689      0.512431      0.00000    
 47  -238.263       3.36609       24.1661     0.114302E-03
      86  380.982       4
  3  0.524953      0.807339     -0.356118      0.00000    
  1 -0.592422      0.801523E-01   1.27478      0.00000    
  1  0.566306E-01  0.552456     -0.249933      0.00000    
 47   44.0250      -220.019       83.7719     0.773492E-04
      87  2330.48       5
  3 -0.529090      0.612411     -0.117230      0.00000    
  1 -0.450206E-01 -0.493958     -0.418544      0.00000    
  1  0.829984     -0.279873     -0.324274      0.00000    
  1  0.206758      0.518640      0.243197      0.00000    
 47  -15.2690       164.212       173.683     0.352309E-03
      88  694.016       3
  3  0.759426     -0.862005      0.774860      0.00000    
  1  -1.28399       1.15046       1.37311      0.00000    
 47   200.961       83.5246       100.013     0.909018E-04
      89  5850.69       3
  3   2.39370     -0.173982      0.942542      0.00000    
  1 -0.367929     -0.475374      0.976147E-01  0.00000    
 47  -146.549       151.587      -113.619     0.188324E-04
      90  1508.28       4
  3 -0.512803      0.227226      0.225803      0.00000    
  1  0.713867      0.551083     -0.340583      0.00000    
  1  0.776475      -1.57335      0.182631      0.00000    
 47  -230.150       59.2763      -29.6897     0.616601E-04
      91  1182.79       4
  3  0.880757E-01  0.745827      0.297338      0.00000    
  1  0.272633E-01  -1.50870     -0.131332E-01  0.00000    
  1 -0.103040     -0.253037     -0.544276      0.00000    
 47   190.321      -141.903      -31.7193     0.142939E-03
      92  2757.70       3
  3  0.975097E-01  0.275785     -0.390652      0.00000    
  1 -0.603247       1.23025      0.146501      0.00000    
 47  -20.2797      -189.484      -145.083     0.226738E-03
      93  392.403       4
  3  0.136718     -0.414377      0.653743      0.00000    
  1  0.337405       1.32575     -0.333187      0.00000    
  1 -0.564276      0.163957      0.159974      0.00000    
 47  -116.691       208.261       19.3591     0.295510E-03
      94  713.017       2
  3 -0.374619       1.14572     -0.481931      0.00000    
 47   147.980      -66.0452      -176.364     0.678085E-04
      95  6759.60       3
  3 -0.875127     -0.502189E-01 -0.572132      0.00000    
  1   1.80894     -0.835849      0.720604      0.00000    
 47   213.406       2.26691       108.707     0.359797E-04
      96  1570.02       4
  3  -1.06786     -0.231504      0.304615E-01  0.00000    
  1  0.625421     -0.518092     -0.934384      0.00000    
  1 -0.356256     -0.180327     -0.459832      0.00000    
 47   41.9286      -215.328      -96.1259     0.624181E-04
      97  1327.82       2
  3 -0.171812     -0.491340     -0.126662E-01  0.00000    
 47  -174.405      -162.708       21.7570     0.262091E-03
      98  901.863       3
  3  -1.24915      0.153568      0.529084      0.00000    
  1 -0.860577      0.878948       1.82879      0.00000    
 47   154.370      -92.1799       158.231     0.287000E-03
      99  1780.18       4
  3  0.108254       1.21794     -0.965191      0.00000    
  1   1.09078     -0.572080     -0.124764      0.00000    
  1 -0.197815     -0.140852     -0.558490      0.00000    
 47  -104.025       208.033      -57.1424     0.286649E-04
     100  4713.17       2
  3  -2.27425     -0.358198     -0.325954      0.00000    
 47  -8.40093       128.246      -202.106     0.238288E-03
     101  84.4589       4
  3 -0.154024     -0.315149      0.827461      0.00000    
  1  0.734059     -0.391443E-01 -0.845000      0.00000    
  1 -0.132860     -0.124669      0.581108      0.00000    
 47   23.0494       209.024       114.640     0.174017E-03
     102  439.060       4
  3   1.29854     -0.919791E-01 -0.814260      0.00000    
  1  0.467259E-01 -0.132476      0.755044      0.00000    
  1 -0.109960      0.259984      0.539628      0.00000    
 47   134.516      -36.5268       194.770     0.626941E-04
     103  3341.17       3
  3 -0.935184      0.266526     -0.624820      0.00000    
  1 -0.237789      -1.73403      0.219796      0.00000    
 47  -91.8304      -38.1777       217.885     0.226065E-03
     104  350.492       3
  3 -0.116019     -0.251493     -0.174887      0.00000    
  1 -0.863456       2.28712      0.127382      0.00000    
 47   122.590       157.006       132.986     0.807000E-04
     105  1387.68       3
  3  0.511253      -1.11568      0.635215E-01  0.00000    
  1   1.53527      0.137812     -0.692111E-01  0.00000    
 47  -208.153       65.8025      -98.5222     0.346872E-05
     106  152.571       4
  3 -0.181435      0.114335     -0.501344      0.00000    
  1  0.814689      -1.61515      0.485491      0.00000    
  1  0.450145     -0.178161     -0.369472      0.00000    
 47   133.550       94.6791      -174.828     0.197596E-03
     107  2508.59       4
  3  0.273791      -1.15171      0.529709      0.00000    
  1 -0.315301      0.973075      0.456191      0.00000    
  1 -0.909722E-01  0.117416     -0.590609      0.00000    
 47  -38.7872      -236.059       11.6703     0.885067E-03
     108  3951.64       5
  3  0.476919      0.636955      0.690108      0.00000    
  1  0.636334E-01 -0.772442     -0.147666      0.00000    
  1 -0.314211E-01  0.701016     -0.396516     0.252051E-09
  1 -0.589843     -0.925002E-01  0.120042      0.00000    
 47  -205.953       122.160      -4.94415     0.951400E-04
     109  3657.61       3
  3 -0.310159     -0.944287      0.376410      0.00000    
  1  0.767258      0.834276       1.89022      0.00000    
 47   181.100       100.420      -120.345     0.165145E-03
     110  384.806       4
  3  0.258888     -0.377583      -1.61361      0.00000    
  1  0.972746E-01 -0.206164      -1.09656      0.00000    
  1  0.591651      0.658245E-02  0.144177      0.00000    
 47   66.2191      -207.639       99.3249     0.277540E-03
     111  1324.94       4
  3 -0.583610      0.836773     -0.494156      0.00000    
  1 -0.472773      0.420400      -1.06414      0.00000    
  1 -0.205327      0.531762     -0.214361      0.00000    
 47   139.547      -32.8617       191.862     0.654200E-04
     112  1033.86       3
  3  0.538505E-01 -0.294181     -0.929180E-01  0.00000    
  1   2.15821     -0.431855     -0.115061      0.00000    
 47  -29.6755      -233.781       42.7789     0.259350E-03
     113  1051.55       4
  3  0.890996E-01 -0.241101      0.144577      0.00000    
  1 -0.721780      0.501353     -0.871965      0.00000    
  1  0.218458     -0.328263      0.464113      0.00000    
 47   51.4443      -217.966      -84.9034     0.145736E-03
     114  2644.02       4
  3 -0.552143      0.740595E-01  0.641186E-01  0.00000    
  1 -0.168204      0.801966       1.13761      0.00000    
  1 -0.526051      0.290570      0.985908E-01  0.00000    
 47   200.622      -107.747      -74.2012     0.240085E-03
     115  7.69417       3
  3  0.314498      0.835548E-01 -0.512184      0.00000    
  1  0.457230      -2.29034      0.733469      0.00000    
 47   15.9888      -49.4812      -233.796     0.241104E-03
     116  3279.79       3
  3 -0.108290E-01 -0.709853E-01  0.121805      0.00000    
  1 -0.173553E-01 -0.390635       1.32136      0.00000    
 47  -121.153      -206.356      -10.1855     0.961800E-04
     117  573.174       2
  3   1.75326     -0.661711     -0.961042      0.00000    
 47   28.2288       66.4862      -228.357     0.915078E-04
     118  1002.09       3
  3   1.20093     -0.139901       1.44485      0.00000    
  1  -1.17733      0.191292E-01  -1.31347      0.00000    
 47   167.938      -109.708       130.864     0.641760E-03
     119  234.657       3
  3  0.441711E-02  -1.10514     -0.519444      0.00000    
  1 -0.879655      -1.41681      0.460172      0.00000    
 47  -51.1766       84.2745       218.273     0.589290E-04
     120  1336.01       4
