 DECAY0 generated file: Tl208.dat                               

  date and hour         :   10.10.2007    15:45:24
  initial random number :  0
    
  event type: Tl208           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
  3  0.541452     -0.103885      0.554321      0.00000    
  1  0.402598E-01  0.310395E-01  0.718310E-01  0.00000    
  1 -0.289927     -0.176844     -0.473875     0.825653E-10
  1  -2.46841     -0.850984      0.144876     0.354465E-10
      62  226.887       3
  3   1.37565      0.602690     -0.556345      0.00000    
  1 -0.614308      0.402831      0.449081     0.340104E-11
  1  0.239691      -2.59386      0.229527     0.286520E-10
      63  6.35577       4
  3 -0.324108      0.165094       1.63864      0.00000    
  1 -0.512874E-01  0.503122      0.732050E-01  0.00000    
  1 -0.570190      0.672879E-01  0.101216     0.863350E-09
  1  -1.44331       1.35532      -1.70827     0.235562E-10
      64  1460.73       3
  3  0.488712     -0.165780      0.144271      0.00000    
  1 -0.457039     -0.328583      0.151780     0.404508E-09
  1  -2.43080     -0.328496     -0.906383     0.447443E-11
      65  173.063       3
  3  0.450040      0.739626      -1.08521      0.00000    
  1 -0.591412     -0.179098      0.599564     0.753684E-11
  1 -0.168098       2.48842     -0.785965     0.545808E-11
      66  579.178       4
  3  0.275986     -0.749688      0.911957      0.00000    
  1 -0.885152E-02  0.411518      0.642451      0.00000    
  1  0.497008      0.303833      0.236081E-01 0.122702E-09
  1   1.65306      -1.80207      0.926367     0.414558E-10
      67  108.827       3
  3 -0.459438      0.446566     -0.132866      0.00000    
  1 -0.164171E-02 -0.212653     -0.542830     0.192097E-10
  1  -1.60632      -1.87526     -0.861033     0.269391E-10
      68  94.1321       3
  3  -1.06997     -0.957549     -0.176350      0.00000    
  1  0.355319     -0.461892     -0.171137E-01 0.201251E-09
  1   2.47605      0.672168      0.505545     0.668960E-10
      69  547.550       4
  3  -1.14653      0.252513E-01  0.399901E-01  0.00000    
  1  0.815204E-01 -0.242277      0.442467      0.00000    
  1  0.197887      0.498535     -0.228458     0.415822E-09
  1   2.33069     -0.530251E-01   1.18460     0.876679E-10
      70  226.516       4
  3  0.139234E-02  0.436253E-01 -0.110307      0.00000    
  1 -0.484414      0.189561      0.558192      0.00000    
  1  0.282833      0.203628     -0.467365     0.756233E-09
  1 -0.566978E-01  0.294235      -2.59778     0.386737E-10
      71  37.3419       3
  3 -0.343812      0.200942E-01  0.948352      0.00000    
  1  0.434218     -0.275824      0.274345     0.249729E-09
  1  -1.46848      -2.09419     -0.544216     0.455282E-10
      72  33.5532       4
  3  0.445625       1.20388     -0.411101      0.00000    
